,0
0,-0.4194
1,-0.3874933333333333
2,-0.3755266666666667
3,-0.3493599999999999
4,-0.3359966666666667
5,-0.32695999999999986
6,-0.3208066666666668
7,-0.3088133333333334
8,-0.2988133333333333
9,-0.2973733333333333
10,-0.28805333333333344
11,-0.2719333333333333
12,-0.2708666666666666
13,-0.2512866666666665
14,-0.2504
15,-0.23918333333333336
16,-0.22171666666666665
17,-0.21936666666666665
18,-0.20873333333333333
19,-0.19847666666666655
20,-0.1893333333333334
21,-0.17420000000000002
22,-0.173
23,-0.16566666666666666
24,-0.1423333333333333
25,-0.13360000000000005
26,-0.12833333333333333
27,-0.1232666666666666
28,-0.09100000000000004
29,-0.07169333333333335
30,-0.06814666666666652
31,-0.06440000000000003
32,-0.0633333333333334
33,-0.04083999999999998
34,-0.023200000000000016
35,-0.0036266666666667407
36,0.07060000000000002
37,0.12040000000000008
38,0.35523999999999994
